County_Code,Age_Group,Probability,COMMUNITY,UNC,LARGE,SMALL,LT,NH
83,1,0.00026125886365981884,0,3.889179359286956e-05,6.174628654063896e-05,0.00016062078352631034,0,0.0
83,2,0.0007950723423121981,0,8.749660042618877e-05,0.00012978602694408027,0.000412875922472546,0,0.00016491379246938318
85,0,0.00010487374430890643,0,3.216722695454402e-05,2.9018167816093513e-05,4.368834953826889e-05,0,0.0
85,1,0.00020709230123645584,0,5.984204932630058e-05,5.21240724894383e-05,9.512617942071697e-05,0,0.0
85,2,0.0007751907216615821,0,0.00016811771729079665,0.00013681359458264165,0.00030534561731876067,0,0.00016491379246938318
87,0,0.00020025718630062262,0,2.3914471806415636e-06,9.102912226834744e-05,0.00010683661685163362,0,0.0
87,1,0.00023618887774930339,0,2.6231241620261523e-06,9.6408189564071e-05,0.00013715756402320623,0,0.0
87,2,0.0006477917959931989,0,5.078590449967253e-06,0.00017439023300045548,0.00030340918007339297,0,0.00016491379246938318
89,0,0.0001980825122050404,0,9.543842901893345e-05,6.951474595480109e-05,3.312933723130587e-05,0,0.0
89,1,0.00021482539889051787,0,0.00010183389675427805,7.161789273163033e-05,4.1373609404609497e-05,0,0.0
89,2,0.0005383245432535387,0,0.00017603058174653295,0.00011566479341795807,8.171537561966448e-05,0,0.00016491379246938318
91,0,0.0001932523085367087,0,0.0,6.756048078592962e-05,0.0001256918277507791,0,0.0
91,1,0.0002257604797257023,0,0.0,6.935431565684275e-05,0.00015640616406885957,0,0.0
91,2,0.0007051454255017396,0,0.0,0.00014375828936083693,0.00039647334367151946,0,0.00016491379246938318
93,0,9.599739012882707e-05,0,0.0,4.8255173376360657e-05,4.774221675246641e-05,0,0.0
93,1,0.00021308290581503416,0,0.0,9.688706731269285e-05,0.00011619583850234133,0,0.0
93,2,0.000986380796593952,0,0.0,0.00033302986981852096,0.0004884371343060479,0,0.00016491379246938318
95,0,4.7119022039323004e-05,0,0.0,0.0,4.7119022039323004e-05,0,0.0
95,1,7.227496029140025e-05,0,0.0,0.0,7.227496029140025e-05,0,0.0
95,2,0.0003470023981225165,0,0.0,0.0,0.0001820886056531333,0,0.00016491379246938318
97,0,0.00014128020684401146,0,0.0,3.350995006134926e-05,0.0001077702567826622,0,0.0
97,1,0.00021651792749273176,0,0.0,4.4201376349953107e-05,0.00017231655114277865,0,0.0
97,2,0.0008067236200139905,0,0.0,0.00011128016198786121,0.0005305296655567461,0,0.00016491379246938318
99,0,0.00013835474806621518,0,0.0,6.009088423006745e-05,7.826386383614772e-05,0,0.0
99,1,0.00017941263063915005,0,0.0,6.957295869578085e-05,0.0001098396719433692,0,0.0
99,2,0.0005697030237266328,0,0.0,0.00013811934251897645,0.0002666698887382731,0,0.00016491379246938318
101,0,0.00012376493359738948,0,8.972921757527035e-05,2.8289207735062994e-05,5.746508287056123e-06,0,0.0
101,1,0.00020010438118648534,0,0.0001450694674488937,4.4160953141044034e-05,1.0873960596547599e-05,0,0.0
101,2,0.0007479181404797192,0,0.00042553358844340606,0.00012102641083862776,3.6444348728302303e-05,0,0.00016491379246938318
103,0,0.00015601140079414313,0,1.3246308859038088e-05,0.0,0.00014276509193510506,0,0.0
103,1,0.00018175050960075314,0,1.3349812074591276e-05,0.0,0.00016840069752616186,0,0.0
103,2,0.0006611256765238628,0,3.219444614730113e-05,0.0,0.0004640174379071784,0,0.00016491379246938318
105,0,0.0001614624376749513,0,4.148719339710123e-05,0.0,0.00011997524427785007,0,0.0
105,1,0.0002481754682367332,0,5.66004321823415e-05,0.0,0.00019157503605439169,0,0.0
105,2,0.00084113732314361,0,0.00013893299861914834,0.0,0.0005372905320550785,0,0.00016491379246938318
107,0,0.00022192037985843593,0,0.00014097553557744594,6.83452741648471e-05,1.2599570116142883e-05,0,0.0
107,1,0.00027460494027965884,0,0.00017460654724511123,8.17336283789261e-05,1.8264764655621502e-05,0,0.0
107,2,0.0007580279832178382,0,0.0003809671704265993,0.00016661407768495318,4.553294263690259e-05,0,0.00016491379246938318
109,0,0.0001482025200957064,0,0.0,6.113980866761045e-05,8.706271142809595e-05,0,0.0
109,1,0.0001942547413893659,0,0.0,7.125652473416901e-05,0.00012299821665519688,0,0.0
109,2,0.000715438606949226,0,0.0,0.00017696441117238772,0.0003735604033074552,0,0.00016491379246938318
111,0,0.00017007106067247604,0,0.0,9.288731410610164e-05,7.718374656637439e-05,0,0.0
111,1,0.00022667971417281342,0,0.0,0.00011293071391662454,0.00011374900025618887,0,0.0
111,2,0.0007246274471491313,0,0.0,0.00025079150146430594,0.00030892215321544217,0,0.00016491379246938318
113,0,0.00018829677139089475,0,0.0,9.046394590763039e-05,9.783282548326437e-05,0,0.0
113,1,0.00020686312663857452,0,0.0,8.951560934694619e-05,0.00011734751729162834,0,0.0
113,2,0.0005020945576994655,0,0.0,0.0001295276698614423,0.00020765309536864004,0,0.00016491379246938318
115,0,0.00021075146518311958,0,0.0,0.00020527867128461197,5.4727938985076065e-06,0,0.0
115,1,0.00021239826554060264,0,0.0,0.0002057490684391722,6.649197101430468e-06,0,0.0
115,2,0.0005427153283356246,0,0.0,0.0003634379674496989,1.4363568416542509e-05,0,0.00016491379246938318
117,0,0.00024280503546235323,0,0.0,0.00014781319584043992,9.49918396219133e-05,0,0.0
117,1,0.0002555852089027796,0,0.0,0.0001436676623769083,0.00011191754652587129,0,0.0
117,2,0.0007252816295432601,0,0.0,0.0002869760279852032,0.00027339180908867377,0,0.00016491379246938318
119,0,0.0001305076245367794,0,0.0,9.798178010329377e-05,3.252584443348563e-05,0,0.0
119,1,0.00023461776114519468,0,0.0,0.00016729827611213814,6.731948503305652e-05,0,0.0
119,2,0.000926154463753883,0,0.0,0.0005101820200535185,0.0002510586512309812,0,0.00016491379246938318
121,0,0.00018211670158502902,0,0.0,0.00012867639959138877,5.3440301993640256e-05,0,0.0
121,1,0.0001798329034619426,0,0.0,0.00011961536147668195,6.021754198526064e-05,0,0.0
121,2,0.0005145761884809083,0,0.0,0.00021642156678026569,0.0001332408292312595,0,0.00016491379246938318
